X, Y, Z, WIDTH, HEIGHT, AVERAGE-Y, AVERAGE-U, AVERAGE-V, MIN-Y, MIN-U, MIN-V, MAX-Y, MAX-U, MAX-V, STDEV-Y, STDEV-U, STDEV-V
0.62928337, 0.2718711, 0.5, 0.90840876, 0.35252488, 0.24332812, 0.2966552, 0.9438946, 0.34754413, 0.3556823, 0.8400792, 0.18880704, 0.22427705, 1.0, 0.48294047, 0.37390485, 0.787536
0.6335441, 0.6866038, 0.5, 0.48127207, 0.9349236, 0.28735965, 0.7396239, 0.6096634, 0.07099426, 0.7121612, 0.68761104, 0.3956747, 0.68790644, 0.7956742, 0.11108464, 0.63951355, 0.21965298
0.44295514, 0.4955802, 0.5, 0.6088591, 0.45578653, 0.3203833, 0.27845103, 0.9878725, 0.3244983, 0.33983883, 0.80196214, 0.17546076, 0.21253958, 1.0, 0.50182325, 0.40041572, 0.83045053
0.44439083, 0.7882844, 0.5, 0.5660908, 0.84121764, 0.21030447, 0.7396239, 0.618459, 0.30145246, 0.7596917, 0.6799876, 0.29557747, 0.6585628, 0.44485092, 0.08113167, 0.56660306, 0.22169742
0.47712836, 0.5218261, 0.5, 0.37197042, 0.98819315, 0.254336, 0.7699642, 0.6096634, 0.6471398, 0.7596917, 0.71810466, 0.30892375, 0.73485625, 0.41561565, 0.13103247, 0.61628515, 0.2030187
0.6289998, 0.27213627, 0.5, 0.9094469, 0.3547755, 0.24332812, 0.2966552, 0.95269024, 0.34754413, 0.3556823, 0.8400792, 0.18880704, 0.22427705, 1.0, 0.47918427, 0.37319803, 0.7845293
0.61594784, 0.5868189, 0.5, 0.66234356, 0.37214664, 0.529533, 0.8731213, 0.48652562, 0.4397274, 0.720083, 0.5732599, 0.40902102, 0.8522308, 0.3571451, 0.64761984, 0.97654283, 0.4381928
0.44559017, 0.49800834, 0.5, 0.5887765, 0.44366053, 0.3203833, 0.27845103, 0.9878725, 0.3244983, 0.33983883, 0.7867153, 0.17546076, 0.21253958, 1.0, 0.5018682, 0.39947972, 0.82936704
0.41787872, 0.76743597, 0.5, 0.5632037, 0.85077953, 0.21030447, 0.745692, 0.618459, 0.14013174, 0.7596917, 0.6799876, 0.29557747, 0.6585628, 0.44485092, 0.08816695, 0.5603089, 0.21947777
0.4772895, 0.49068403, 0.5, 0.58270353, 0.99098796, 0.28735965, 0.79423654, 0.5920723, 0.48581904, 0.7596917, 0.59613013, 0.42904046, 0.8522308, 0.41561565, 0.29819694, 0.7032868, 0.3330212
0.6295289, 0.27199027, 0.5, 0.9109453, 0.35440648, 0.24332812, 0.2966552, 0.95269024, 0.34754413, 0.3556823, 0.8400792, 0.18880704, 0.22427705, 1.0, 0.4777908, 0.37209332, 0.78368956
0.6641923, 0.7800226, 0.5, 0.3617822, 0.23966789, 0.65061975, 0.73355585, 0.58327675, 0.48581904, 0.6804742, 0.6799876, 0.9028341, 0.7113813, 0.8443997, 0.7468959, 0.78338933, 0.25955147
0.44820163, 0.57366246, 0.5, 0.7572457, 0.5451912, 0.529533, 0.9095297, 0.48652562, 0.48581904, 0.5616479, 0.5885067, 0.82942945, 0.86396825, 0.42536074, 0.6600043, 0.9676093, 0.4312967
0.6122632, 0.43024722, 0.5, 0.32073367, 0.32189935, 0.65061975, 0.16922587, 0.62725455, 1.0, 0.10218623, 0.7867153, 0.56250346, 0.16558978, 0.42536074, 0.75856423, 0.6565465, 0.22814465
0.67319256, 0.5767127, 0.5, 0.20095691, 0.28888488, 0.3864306, 0.30879134, 0.9350991, 0.6471398, 0.38736933, 0.8248324, 0.24219224, 0.29470176, 1.0, 0.49829972, 0.38411504, 0.85255826
0.56614995, 0.25387114, 0.5, 0.42511988, 0.7357454, 0.6836434, 0.5757862, 0.16108996, 1.0, 0.75177, 0.23020655, 0.46240622, 0.45315737, 0.29867455, 0.3030161, 0.32501554, 0.8095647
0.5369739, 0.7680922, 0.5, 0.4882431, 0.34618518, 0.6836434, 0.76389617, 0.6096634, 0.48581904, 0.67255247, 0.71810466, 0.86279523, 0.740725, 0.98083097, 0.83612156, 0.8314445, 0.27166772
0.38370547, 0.4598071, 0.5, 0.92653656, 0.7470413, 0.5515488, 0.933802, 0.49532118, 0.25536084, 0.73592645, 0.62662375, 0.6359081, 0.86396825, 0.40587056, 0.6615182, 0.98883843, 0.39611843
0.6797585, 0.5828001, 0.5, 0.6610204, 0.43332392, 0.34239906, 0.3027233, 0.97907686, 0.18622339, 0.36360407, 0.83245575, 0.20215335, 0.26535812, 1.0, 0.47176582, 0.38349104, 0.8377484
0.6950206, 0.36383742, 0.5, 0.38603297, 0.42676592, 0.66162765, 0.17529392, 0.64484566, 1.0, 0.14971676, 0.80196214, 0.48242566, 0.17732722, 0.454596, 0.68427145, 0.6782181, 0.24443409
0.74423486, 0.12310925, 0.5, 0.70967853, 0.9162335, 0.62860394, 0.5818542, 0.20506775, 1.0, 0.7596917, 0.2835704, 0.34896266, 0.45315737, 0.32790983, 0.29488558, 0.3325132, 0.7937076
0.66239405, 0.7773335, 0.5, 0.3081431, 0.21507183, 0.66162765, 0.73355585, 0.58327675, 0.48581904, 0.6804742, 0.6799876, 0.9028341, 0.7172501, 0.8443997, 0.7469898, 0.7836918, 0.23788908
0.44853982, 0.57360667, 0.5, 0.75300515, 0.54306054, 0.529533, 0.9095297, 0.48652562, 0.48581904, 0.5616479, 0.5808833, 0.82942945, 0.86396825, 0.42536074, 0.66032875, 0.9668739, 0.43089956
0.6126402, 0.43002418, 0.5, 0.32177663, 0.3214935, 0.65061975, 0.16922587, 0.62725455, 1.0, 0.10218623, 0.7867153, 0.5691766, 0.18319595, 0.44485092, 0.7605393, 0.65958697, 0.22904533
0.6734966, 0.5772133, 0.5, 0.20307913, 0.2905759, 0.37542272, 0.30879134, 0.9350991, 0.6471398, 0.37944758, 0.8248324, 0.24219224, 0.29470176, 1.0, 0.4977815, 0.3874516, 0.85584164
0.5639413, 0.2548492, 0.5, 0.41844758, 0.73767924, 0.6836434, 0.5757862, 0.16108996, 1.0, 0.720083, 0.22258314, 0.46240622, 0.45315737, 0.29867455, 0.3008228, 0.3233409, 0.8080663
0.5340827, 0.7648288, 0.5, 0.42190766, 0.338342, 0.69465125, 0.7699642, 0.6096634, 0.46277323, 0.67255247, 0.71810466, 0.86279523, 0.740725, 0.98083097, 0.8377416, 0.8307027, 0.25189072
0.38351774, 0.46035826, 0.5, 0.91766363, 0.7445632, 0.5515488, 0.933802, 0.49532118, 0.25536084, 0.73592645, 0.6190004, 0.6359081, 0.86396825, 0.40587056, 0.6601553, 0.9849893, 0.3964952
0.6795935, 0.58305115, 0.5, 0.6629164, 0.43438464, 0.34239906, 0.3027233, 0.9878725, 0.18622339, 0.36360407, 0.83245575, 0.20215335, 0.26535812, 1.0, 0.47161078, 0.38306123, 0.83888793
0.69427586, 0.36401397, 0.5, 0.3876655, 0.42797422, 0.66162765, 0.17529392, 0.64484566, 1.0, 0.14179501, 0.80196214, 0.48242566, 0.17732722, 0.4643411, 0.6849264, 0.67838687, 0.24465707
0.7436884, 0.12330443, 0.5, 0.70927703, 0.9161658, 0.6175961, 0.5757862, 0.20506775, 1.0, 0.7596917, 0.27594697, 0.35563582, 0.46489483, 0.32790983, 0.29363486, 0.33028144, 0.79252535
0.65965116, 0.77642626, 0.5, 0.30520993, 0.2103318, 0.66162765, 0.7396239, 0.58327675, 0.4166816, 0.6804742, 0.6799876, 0.9028341, 0.8111497, 0.8443997, 0.74985635, 0.7892315, 0.23955613
